Time,NetEnergy,DiffEnergy
0.130518,121.249,8.63e-07
0.130571,121.448,0.198795
0.130571,121.448,8.63e-07
0.130625,121.647,0.198795
0.130732,121.693,0.0462322
0.13075,121.705,0.012401
0.13075,121.705,1.2945e-06
0.130768,121.772,0.0662636
0.130768,121.772,8.63e-07
0.130839,122.037,0.265062
0.130839,122.037,8.63e-07
0.130893,122.235,0.198795
0.130893,122.235,8.63e-07
0.130929,122.368,0.132527
0.130929,122.368,8.63e-07
0.130964,122.5,0.132527
0.130982,122.508,0.00770573
0.131,122.521,0.012401
0.131,122.521,1.2945e-06
0.131018,122.587,0.0662636
0.131018,122.587,8.63e-07
0.131036,122.653,0.0662599
0.131232,122.738,0.0847587
0.13125,122.75,0.012401
0.13125,122.75,1.2945e-06
0.131268,122.817,0.0662636
0.131268,122.817,8.63e-07
0.131321,123.015,0.198795
0.131321,123.015,8.63e-07
0.131375,123.214,0.198795
0.131375,123.214,8.63e-07
0.131411,123.347,0.132527
0.131411,123.347,8.63e-07
0.131446,123.479,0.132527
0.131482,123.495,0.015411
0.1315,123.507,0.012401
0.1315,123.507,1.2945e-06
0.131518,123.573,0.0662636
0.131732,123.666,0.092464
0.13175,123.678,0.012401
0.13175,123.678,1.2945e-06
0.131768,123.744,0.0662636
0.131768,123.744,8.63e-07
0.131786,123.811,0.0662599
0.131786,123.811,8.63e-07
0.131804,123.877,0.0662599
0.131804,123.877,8.63e-07
0.131839,124.009,0.132527
0.131839,124.009,8.63e-07
0.131875,124.142,0.132527
0.131875,124.142,8.63e-07
0.131911,124.274,0.132527
0.131911,124.274,8.63e-07
0.131964,124.473,0.198795
0.131982,124.481,0.00770573
0.132,124.493,0.012401
0.132,124.493,1.2945e-06
0.132018,124.56,0.0662636
0.132018,124.56,8.63e-07
0.132071,124.758,0.198795
0.132071,124.758,8.63e-07
0.132125,124.957,0.198795
0.132125,124.957,8.63e-07
0.132196,125.222,0.265062
0.132232,125.238,0.015411
0.13225,125.25,0.012401
0.13225,125.25,1.2945e-06
0.132268,125.316,0.0662636
0.132268,125.316,8.63e-07
0.132339,125.581,0.265062
0.132339,125.581,8.63e-07
0.132393,125.78,0.198795
0.132393,125.78,8.63e-07
0.132429,125.913,0.132527
0.132429,125.913,8.63e-07
0.132464,126.045,0.132527
0.132482,126.053,0.00770573
0.1325,126.065,0.012401
0.1325,126.065,1.2945e-06
0.132518,126.132,0.0662636
0.132518,126.132,8.63e-07
0.132536,126.198,0.0662599
0.132732,126.283,0.0847587
0.13275,126.295,0.012401
0.13275,126.295,1.2945e-06
0.132768,126.361,0.0662636
0.132768,126.361,8.63e-07
0.132821,126.56,0.198795
0.132821,126.56,8.63e-07
0.132875,126.759,0.198795
0.132875,126.759,8.63e-07
0.132911,126.891,0.132527
0.132911,126.891,8.63e-07
0.132946,127.024,0.132527
0.132982,127.039,0.015411
0.133,127.052,0.012401
0.133,127.052,1.2945e-06
0.133018,127.118,0.0662636
0.133232,127.211,0.092464
0.13325,127.223,0.012401
0.13325,127.223,1.2945e-06
0.133268,127.289,0.0662636
0.133268,127.289,8.63e-07
0.133304,127.422,0.132527
0.133304,127.422,8.63e-07
0.133339,127.554,0.132527
0.133339,127.554,8.63e-07
0.133411,127.819,0.265062
0.133411,127.819,8.63e-07
0.133464,128.018,0.198795
0.133482,128.026,0.00770573
0.1335,128.038,0.012401
0.1335,128.038,1.2945e-06
0.133518,128.105,0.0662636
0.133518,128.105,8.63e-07
0.133571,128.303,0.198795
0.133571,128.303,8.63e-07
0.133625,128.502,0.198795
0.133732,128.548,0.0462322
0.13375,128.561,0.012401
0.13375,128.561,1.2945e-06
0.133768,128.627,0.0662636
0.133768,128.627,8.63e-07
0.133839,128.892,0.265062
0.133839,128.892,8.63e-07
0.133893,129.091,0.198795
0.133893,129.091,8.63e-07
0.133929,129.223,0.132527
0.133929,129.223,8.63e-07
0.133964,129.356,0.132527
0.133982,129.364,0.00770573
0.134,129.376,0.012401
0.134,129.376,1.2945e-06
0.134018,129.442,0.0662636
0.134018,129.442,8.63e-07
0.134054,129.575,0.132527
0.134232,129.652,0.0770534
0.13425,129.664,0.012401
0.13425,129.664,1.2945e-06
0.134268,129.731,0.0662636
0.134268,129.731,8.63e-07
0.134321,129.929,0.198795
0.134321,129.929,8.63e-07
0.134375,130.128,0.198795
0.134375,130.128,8.63e-07
0.134411,130.261,0.132527
0.134411,130.261,8.63e-07
0.134446,130.393,0.132527
0.134482,130.409,0.015411
